Type of array;Sorting algorithm;Array size;Elementary operations
обычный 0-5;пузырек(обычный);50;10016
обычный 0-5;пузырек(айверсон-1);50;11134
обычный 0-5;пузырек(айверсон-2);50;6243
обычный 0-5;сортировка выбором;50;3967
обычный 0-5;сортировка простыми вставками;50;2883
обычный 0-5;сортировка бинарными вставками;50;3486
обычный 0-5;сортировка подсчетом;50;23436
обычный 0-5;цифровая сортировка;50;2197
обычный 0-5;сортировка слиянием;50;4668
обычный 0-5;быстрая сортировка;50;1548
обычный 0-5;пирамидальная сортировка;50;3198
обычный 0-5;сортировка Шелла(посл.Шелла);50;1451
обычный 0-5;пузырек(обычный);100;40068
обычный 0-5;пузырек(айверсон-1);100;43977
обычный 0-5;пузырек(айверсон-2);100;24462
обычный 0-5;сортировка выбором;100;15142
обычный 0-5;сортировка простыми вставками;100;9959
обычный 0-5;сортировка бинарными вставками;100;11702
обычный 0-5;сортировка подсчетом;100;23820
обычный 0-5;цифровая сортировка;100;3157
обычный 0-5;сортировка слиянием;100;10599
обычный 0-5;быстрая сортировка;100;4724
обычный 0-5;пирамидальная сортировка;100;7438
обычный 0-5;сортировка Шелла(посл.Шелла);100;3355
обычный 0-5;пузырек(обычный);150;90408
обычный 0-5;пузырек(айверсон-1);150;99284
обычный 0-5;пузырек(айверсон-2);150;55009
обычный 0-5;сортировка выбором;150;33516
обычный 0-5;сортировка простыми вставками;150;22472
обычный 0-5;сортировка бинарными вставками;150;25071
обычный 0-5;сортировка подсчетом;150;24204
обычный 0-5;цифровая сортировка;150;4117
обычный 0-5;сортировка слиянием;150;16972
обычный 0-5;быстрая сортировка;150;7572
обычный 0-5;пирамидальная сортировка;150;11837
обычный 0-5;сортировка Шелла(посл.Шелла);150;5732
обычный 0-5;пузырек(обычный);200;160855
обычный 0-5;пузырек(айверсон-1);200;176515
обычный 0-5;пузырек(айверсон-2);200;95122
обычный 0-5;сортировка выбором;200;59100
обычный 0-5;сортировка простыми вставками;200;39527
обычный 0-5;сортировка бинарными вставками;200;42857
обычный 0-5;сортировка подсчетом;200;24588
обычный 0-5;цифровая сортировка;200;5077
обычный 0-5;сортировка слиянием;200;23687
обычный 0-5;быстрая сортировка;200;14164
обычный 0-5;пирамидальная сортировка;200;17415
обычный 0-5;сортировка Шелла(посл.Шелла);200;7818
обычный 0-5;пузырек(обычный);250;251326
обычный 0-5;пузырек(айверсон-1);250;275414
обычный 0-5;пузырек(айверсон-2);250;148532
обычный 0-5;сортировка выбором;250;91865
обычный 0-5;сортировка простыми вставками;250;60695
обычный 0-5;сортировка бинарными вставками;250;64733
обычный 0-5;сортировка подсчетом;250;24972
обычный 0-5;цифровая сортировка;250;6037
обычный 0-5;сортировка слиянием;250;30409
обычный 0-5;быстрая сортировка;250;19815
обычный 0-5;пирамидальная сортировка;250;22606
обычный 0-5;сортировка Шелла(посл.Шелла);250;9929
обычный 0-5;пузырек(обычный);300;361563
обычный 0-5;пузырек(айверсон-1);300;395215
обычный 0-5;пузырек(айверсон-2);300;214503
обычный 0-5;сортировка выбором;300;131821
обычный 0-5;сортировка простыми вставками;300;84699
обычный 0-5;сортировка бинарными вставками;300;89354
обычный 0-5;сортировка подсчетом;300;25356
обычный 0-5;цифровая сортировка;300;6997
обычный 0-5;сортировка слиянием;300;37642
