Type of array;Sorting algorithm;Array size;Time(ns)
обычный 0-5;пузырек(обычный);50;7891
обычный 0-5;пузырек(айверсон-1);50;7381
обычный 0-5;пузырек(айверсон-2);50;5568
обычный 0-5;сортировка выбором;50;2114
обычный 0-5;сортировка простыми вставками;50;1263
обычный 0-5;сортировка бинарными вставками;50;1653
обычный 0-5;сортировка подсчетом;50;7026
обычный 0-5;цифровая сортировка;50;1384
обычный 0-5;сортировка слиянием;50;7431
обычный 0-5;быстрая сортировка;50;1721
обычный 0-5;пирамидальная сортировка;50;3031
обычный 0-5;сортировка Шелла(посл.Шелла);50;783
обычный 0-5;пузырек(обычный);100;31531
обычный 0-5;пузырек(айверсон-1);100;27001
обычный 0-5;пузырек(айверсон-2);100;19095
обычный 0-5;сортировка выбором;100;7705
обычный 0-5;сортировка простыми вставками;100;3989
обычный 0-5;сортировка бинарными вставками;100;4466
обычный 0-5;сортировка подсчетом;100;6929
обычный 0-5;цифровая сортировка;100;1981
обычный 0-5;сортировка слиянием;100;15625
обычный 0-5;быстрая сортировка;100;4158
обычный 0-5;пирамидальная сортировка;100;7518
обычный 0-5;сортировка Шелла(посл.Шелла);100;1941
обычный 0-5;пузырек(обычный);150;70574
обычный 0-5;пузырек(айверсон-1);150;61318
обычный 0-5;пузырек(айверсон-2);150;45986
обычный 0-5;сортировка выбором;150;15915
обычный 0-5;сортировка простыми вставками;150;9329
обычный 0-5;сортировка бинарными вставками;150;9375
обычный 0-5;сортировка подсчетом;150;7288
обычный 0-5;цифровая сортировка;150;2525
обычный 0-5;сортировка слиянием;150;25155
обычный 0-5;быстрая сортировка;150;7140
обычный 0-5;пирамидальная сортировка;150;11685
обычный 0-5;сортировка Шелла(посл.Шелла);150;3158
обычный 0-5;пузырек(обычный);200;125351
обычный 0-5;пузырек(айверсон-1);200;110214
обычный 0-5;пузырек(айверсон-2);200;82513
обычный 0-5;сортировка выбором;200;27873
обычный 0-5;сортировка простыми вставками;200;15253
обычный 0-5;сортировка бинарными вставками;200;15063
обычный 0-5;сортировка подсчетом;200;7376
обычный 0-5;цифровая сортировка;200;3220
обычный 0-5;сортировка слиянием;200;34443
обычный 0-5;быстрая сортировка;200;12976
обычный 0-5;пирамидальная сортировка;200;17680
обычный 0-5;сортировка Шелла(посл.Шелла);200;4508
обычный 0-5;пузырек(обычный);250;211646
обычный 0-5;пузырек(айверсон-1);250;179541
обычный 0-5;пузырек(айверсон-2);250;128486
обычный 0-5;сортировка выбором;250;44176
обычный 0-5;сортировка простыми вставками;250;23138
обычный 0-5;сортировка бинарными вставками;250;23198
обычный 0-5;сортировка подсчетом;250;7788
обычный 0-5;цифровая сортировка;250;4116
обычный 0-5;сортировка слиянием;250;43461
обычный 0-5;быстрая сортировка;250;18873
обычный 0-5;пирамидальная сортировка;250;23938
обычный 0-5;сортировка Шелла(посл.Шелла);250;5856
обычный 0-5;пузырек(обычный);300;295030
обычный 0-5;пузырек(айверсон-1);300;267621
обычный 0-5;пузырек(айверсон-2);300;182041
обычный 0-5;сортировка выбором;300;57101
обычный 0-5;сортировка простыми вставками;300;32516
обычный 0-5;сортировка бинарными вставками;300;31493
обычный 0-5;сортировка подсчетом;300;7851
обычный 0-5;цифровая сортировка;300;4319
обычный 0-5;сортировка слиянием;300;55841
обычный 0-5;быстрая сортировка;300;24878
обычный 0-5;пирамидальная сортировка;300;29880
обычный 0-5;сортировка Шелла(посл.Шелла);300;7536
обычный 0-5;пузырек(обычный);100;33509
обычный 0-5;пузырек(айверсон-1);100;27136
обычный 0-5;пузырек(айверсон-2);100;20284
обычный 0-5;сортировка выбором;100;7766
обычный 0-5;сортировка простыми вставками;100;3993
обычный 0-5;сортировка бинарными вставками;100;4564
обычный 0-5;сортировка подсчетом;100;7818
обычный 0-5;цифровая сортировка;100;2048
обычный 0-5;сортировка слиянием;100;16125
обычный 0-5;быстрая сортировка;100;4090
обычный 0-5;пирамидальная сортировка;100;7716
обычный 0-5;сортировка Шелла(посл.Шелла);100;1918
обычный 0-5;пузырек(обычный);200;136325
обычный 0-5;пузырек(айверсон-1);200;113458
обычный 0-5;пузырек(айверсон-2);200;85031
обычный 0-5;сортировка выбором;200;27419
обычный 0-5;сортировка простыми вставками;200;16138
обычный 0-5;сортировка бинарными вставками;200;15381
обычный 0-5;сортировка подсчетом;200;8116
обычный 0-5;цифровая сортировка;200;3130
обычный 0-5;сортировка слиянием;200;34636
обычный 0-5;быстрая сортировка;200;11716
обычный 0-5;пирамидальная сортировка;200;17776
обычный 0-5;сортировка Шелла(посл.Шелла);200;4618
обычный 0-5;пузырек(обычный);300;306938
обычный 0-5;пузырек(айверсон-1);300;257196
обычный 0-5;пузырек(айверсон-2);300;201238
обычный 0-5;сортировка выбором;300;58076
обычный 0-5;сортировка простыми вставками;300;32656
обычный 0-5;сортировка бинарными вставками;300;30523
обычный 0-5;сортировка подсчетом;300;8829
обычный 0-5;цифровая сортировка;300;4613
обычный 0-5;сортировка слиянием;300;56860
обычный 0-5;быстрая сортировка;300;23131
обычный 0-5;пирамидальная сортировка;300;30438
обычный 0-5;сортировка Шелла(посл.Шелла);300;7695
обычный 0-5;пузырек(обычный);400;544186
обычный 0-5;пузырек(айверсон-1);400;463891
обычный 0-5;пузырек(айверсон-2);400;349499
обычный 0-5;сортировка выбором;400;101338
обычный 0-5;сортировка простыми вставками;400;59553
обычный 0-5;сортировка бинарными вставками;400;52048
обычный 0-5;сортировка подсчетом;400;8540
обычный 0-5;цифровая сортировка;400;5530
обычный 0-5;сортировка слиянием;400;74071
обычный 0-5;быстрая сортировка;400;38603
обычный 0-5;пирамидальная сортировка;400;42653
обычный 0-5;сортировка Шелла(посл.Шелла);400;10831
обычный 0-5;пузырек(обычный);500;884681
обычный 0-5;пузырек(айверсон-1);500;720561
обычный 0-5;пузырек(айверсон-2);500;526881
обычный 0-5;сортировка выбором;500;154984
обычный 0-5;сортировка простыми вставками;500;88753
обычный 0-5;сортировка бинарными вставками;500;77029
обычный 0-5;сортировка подсчетом;500;8509
обычный 0-5;цифровая сортировка;500;6623
обычный 0-5;сортировка слиянием;500;92501
обычный 0-5;быстрая сортировка;500;51033
обычный 0-5;пирамидальная сортировка;500;58341
обычный 0-5;сортировка Шелла(посл.Шелла);500;14311
обычный 0-5;пузырек(обычный);600;1207871
обычный 0-5;пузырек(айверсон-1);600;1022938
обычный 0-5;пузырек(айверсон-2);600;775673
обычный 0-5;сортировка выбором;600;216063
обычный 0-5;сортировка простыми вставками;600;124203
обычный 0-5;сортировка бинарными вставками;600;107070
обычный 0-5;сортировка подсчетом;600;9125
обычный 0-5;цифровая сортировка;600;7861
обычный 0-5;сортировка слиянием;600;112840
обычный 0-5;быстрая сортировка;600;77065
обычный 0-5;пирамидальная сортировка;600;67933
обычный 0-5;сортировка Шелла(посл.Шелла);600;22878
обычный 0-5;пузырек(обычный);700;1612555
обычный 0-5;пузырек(айверсон-1);700;1384361
обычный 0-5;пузырек(айверсон-2);700;1035566
обычный 0-5;сортировка выбором;700;303475
обычный 0-5;сортировка простыми вставками;700;216808
обычный 0-5;сортировка бинарными вставками;700;178628
обычный 0-5;сортировка подсчетом;700;9393
обычный 0-5;цифровая сортировка;700;9426
обычный 0-5;сортировка слиянием;700;139200
